frame#,Time (ns),14wt,88wt,88'wt,106wt,14mt,88mt,88'mt,106mt
42,4.2,1.409,1.673,2.047,3.101,7.065,1.46,2.982,4.004
43,4.3,1.677,1.64,1.666,3.197,7.707,1.544,3.185,3.941
44,4.4,1.674,1.079,1.805,2.963,7.393,1.61,3.411,4.021
45,4.5,1.787,1.365,1.74,2.823,7.624,2.974,2.788,4.109
46,4.6,1.831,1.99,1.944,2.698,7.415,2.422,3.041,3.991
47,4.7,1.932,2.582,1.621,2.699,7.368,2.813,3.143,2.74
48,4.8,1.938,1.878,1.841,3.523,7.073,2.795,3.019,3.112
49,4.9,1.817,2.278,1.743,3.395,7.577,2.929,3.29,4.512
50,5,1.476,2.332,1.801,3.314,7.386,2.625,3.172,3.692
51,5.1,1.732,2.921,1.907,3.305,6.365,3.042,2.911,3.389
52,5.2,1.843,2.475,1.938,2.905,7.268,2.725,2.787,4.28
53,5.3,1.822,2.739,1.771,2.876,6.641,2.281,2.966,4.47
54,5.4,1.761,2.645,1.909,2.722,7.072,3.114,2.926,3.966
55,5.5,1.592,2.896,2.141,3.01,6.904,3.089,3.021,4.237
56,5.6,2.266,2.866,1.821,3.154,6.512,2.786,3.102,4.185
57,5.7,1.91,3.46,1.876,3.017,6.771,3.097,3.014,4.182
58,5.8,1.697,3.37,1.701,3.095,6.787,3.106,2.726,3.804
59,5.9,1.901,3.532,1.827,3.085,6.811,3.053,2.454,4.326
60,6,1.674,3.155,1.843,2.943,7.071,2.93,2.801,3.958
61,6.1,1.833,2.03,1.495,3.01,6.714,2.88,3.089,4.189
62,6.2,1.795,3.183,1.823,3.051,7.255,3.589,3.254,2.975
63,6.3,1.879,3.313,1.725,3.319,6.758,2.85,2.856,4.308
64,6.4,2.111,3.326,1.993,3.134,7.136,2.807,3.396,3.875
65,6.5,1.674,3.054,1.922,2.822,7.147,2.817,3.202,3.583
66,6.6,1.669,3.269,2.003,3.024,7.16,2.444,3.052,3.336
67,6.7,1.667,2.856,2.12,2.948,7.259,2.598,2.991,4.742
68,6.8,1.886,3.088,1.894,3.024,7.216,3.573,3.079,3.751
69,6.9,1.928,3.214,2.006,3.038,6.918,2.985,3.008,4.627
70,7,1.762,2.525,1.847,2.637,7.319,3.122,3.118,4.969
71,7.1,1.814,3.046,2.157,2.907,7.515,3.317,3.067,4.975
72,7.2,2.009,3.037,2.093,3.171,7.137,2.541,3.128,4.925
73,7.3,1.91,2.926,2.026,2.72,7.328,3.202,2.994,3.61
74,7.4,1.796,3.65,2.115,2.758,7.652,3.102,2.978,4.435
75,7.5,1.939,3.566,1.702,2.82,7.116,3.376,3.076,4.109
76,7.6,1.664,3.042,2.1,2.646,7.267,3.191,3.029,4.448
77,7.7,1.55,3.249,1.847,2.798,7.494,3.23,2.928,4.296
78,7.8,2.138,3.79,1.853,3.112,7.89,2.945,2.696,3.706
79,7.9,2.117,2.887,1.845,3.145,7.635,2.927,3.085,4.403
80,8,2.041,3.472,1.582,3.232,7.043,3.231,2.926,4.175
81,8.1,1.82,3.026,1.764,3.184,7.214,2.983,2.98,3.629
82,8.2,1.748,2.962,1.733,2.885,6.994,3.059,3.049,5.006
83,8.3,1.868,3.314,1.841,2.907,7.067,2.834,3.184,4.185
84,8.4,1.677,2.91,1.756,3.058,7.162,2.842,3.291,4.107
85,8.5,1.97,3.157,2.038,2.779,7.275,3.034,3.259,4.163
86,8.6,1.967,3.217,1.363,2.895,7.259,3.435,3.001,4.072
87,8.7,1.853,3.46,2.233,3.009,7.412,3.114,2.609,4.771
88,8.8,2.082,3.402,1.648,3.061,7.079,2.971,3.009,3.732
89,8.9,2.088,3.513,1.644,3.254,7.159,2.661,3.469,3.783
90,9,1.707,2.444,1.6,2.767,7.121,2.927,3.37,3.809
91,9.1,1.995,3.167,1.613,3.057,7.203,2.939,2.845,3.448
92,9.2,1.699,3.739,1.601,2.851,7.39,2.845,2.6,3.209
93,9.3,1.935,3.306,1.804,3.03,7.195,3.242,2.739,3.804
94,9.4,1.575,2.909,1.592,3.012,7.719,2.858,3.081,4.747
95,9.5,1.743,3.613,1.888,3.018,6.795,2.761,3.142,3.351
96,9.6,1.918,3.352,1.26,3.033,7.217,3.495,3.485,3.305
97,9.7,1.75,3.722,1.396,3.076,7.235,2.803,2.824,3.324
98,9.8,1.635,3.791,1.626,2.336,6.973,3.426,2.923,3.465
99,9.9,1.619,3.748,1.645,3.107,7.391,3.292,2.852,3.765
100,10,1.74,2.831,2.008,3.37,7.064,3.038,2.895,4.569
101,10.1,1.973,3.302,2.123,2.323,7.111,3.524,2.763,4.454
102,10.2,1.86,3.278,1.583,2.933,7.168,3.357,2.789,4.095
103,10.3,2.031,2.838,1.718,3.22,7.21,3.158,2.972,3.693
104,10.4,2.18,3.012,1.415,2.902,7.191,3.436,2.924,4.504
105,10.5,1.771,3.044,1.325,2.804,7.162,3.061,2.665,4.686
106,10.6,1.593,2.957,1.792,2.625,7.277,2.663,2.955,4.432
107,10.7,1.744,3.203,1.405,2.752,6.826,2.82,2.918,4.812
108,10.8,1.95,3.197,1.794,2.91,7.442,3.634,3.161,4.258
109,10.9,2.035,2.95,2.332,2.793,7.314,3.562,3.163,4.103
110,11,1.649,2.71,2.131,2.544,7.284,3.608,2.96,2.928
111,11.1,1.756,3.023,2.476,3.315,6.739,2.854,2.959,4.789
112,11.2,1.595,2.781,2.107,2.707,7.241,2.78,2.939,3.749
113,11.3,1.571,3.103,2.386,2.498,7.069,3.107,2.977,4.352
114,11.4,2.031,3.291,2.483,2.711,7.099,2.937,2.916,3.058
115,11.5,2.063,3.029,2.059,2.956,7.268,3.025,3.209,3.536
116,11.6,1.482,3.061,2.257,2.88,7.35,3.254,3.292,3.286
117,11.7,1.597,2.641,2.22,2.942,7.196,3.02,3.061,4.375
118,11.8,1.384,3.065,2.755,2.455,7.254,2.912,2.889,4.293
119,11.9,1.581,3.34,2.389,2.868,7.192,2.715,3.191,4.205
120,12,1.743,3.062,2.813,3.185,7.268,3.32,3.102,4.122
121,12.1,1.956,2.791,2.783,3.054,6.791,2.828,2.9,3.993
122,12.2,1.723,2.991,2.444,2.856,7.037,3.131,2.871,4.087
123,12.3,1.683,2.848,2.349,3.016,7.097,2.806,2.87,4.801
124,12.4,1.528,2.942,2.377,2.575,7.109,2.856,3.142,4.653
125,12.5,1.86,3.183,2.295,2.715,6.975,3.033,3.167,4.425
126,12.6,1.712,3.056,2.349,3.081,7.388,3.253,3.331,4.51
127,12.7,1.772,2.87,2.483,2.821,6.899,3.1,2.837,4.315
128,12.8,1.89,3.267,2.585,2.778,7.149,3.557,3.047,4.283
129,12.9,1.764,3.477,2.309,2.799,7.204,3.591,3.282,4.776
130,13,1.84,2.775,2.615,3.048,7.351,2.839,3.388,4.263
131,13.1,1.775,3.108,2.314,2.775,7.084,3.22,2.868,4.713
132,13.2,1.827,2.917,2.342,2.576,7.064,3.195,3.156,4.245
133,13.3,1.651,2.802,2.314,2.69,7.071,3.135,3.388,4.418
134,13.4,1.997,2.656,2.462,2.765,7.494,2.921,3.372,3.295
135,13.5,1.624,2.711,2.399,2.886,7.158,3.155,3.005,3.078
136,13.6,1.93,2.784,2.229,2.661,7.468,3.255,3.125,4.492
137,13.7,1.716,2.387,2.422,2.81,7.098,3.148,3.063,3.93
138,13.8,1.801,2.598,2.435,2.654,6.843,3.299,3.073,3.257
139,13.9,1.853,2.895,2.218,2.933,6.973,3.133,2.969,3.566
140,14,1.906,2.94,2.155,3.017,7.159,3.244,2.705,3.193
141,14.1,1.496,3.291,2.693,3.057,7.323,3.302,3.014,3.261
142,14.2,1.787,2.761,2.478,3.009,7.131,3.001,3.148,3.007
143,14.3,1.097,3.076,2.498,2.988,7.021,3.313,2.753,3.488
144,14.4,1.613,3.195,2.405,3.2,6.991,3.479,2.768,3.421
145,14.5,1.629,2.754,2.429,2.851,7.004,3.411,3.514,4.364
146,14.6,1.413,2.666,2.406,3.033,6.886,3.015,3.256,3.794
147,14.7,1.706,3.347,2.469,2.884,7.237,3.058,2.701,3.104
148,14.8,1.688,2.94,2.838,3.209,7.393,3.56,3.456,3.033
149,14.9,1.527,3.188,2.628,2.846,7.051,3.31,3.362,3.115
150,15,1.586,3.407,2.32,3.324,6.787,3.171,2.6,3.025
151,15.1,1.734,2.466,2.035,2.983,7.092,3.235,2.915,2.634
152,15.2,1.611,3.61,2.446,2.995,7.013,3.156,3.011,2.633
153,15.3,1.507,2.904,2.384,2.997,7.052,2.783,3.227,2.937
154,15.4,1.429,2.934,2.527,2.954,7.218,3.027,3.234,3.061
155,15.5,1.647,2.79,2.337,2.9,7.167,3.266,2.994,3.293
156,15.6,1.291,2.938,2.33,2.602,7.343,3.112,3.196,3.566
157,15.7,1.625,3.033,2.144,2.684,7.43,3.223,3.042,3.044
158,15.8,1.481,2.884,2.118,2.915,7.983,3.101,3.184,3.342
159,15.9,1.755,2.604,2.179,2.997,7.765,2.764,3.241,3.183
160,16,1.845,2.542,2.328,2.804,7.305,3.184,3.036,3.205
161,16.1,1.975,2.858,2.049,2.839,7.639,3.455,2.842,3.12
162,16.2,1.658,3.026,2.314,3.056,7.503,3.117,3.023,3.066
163,16.3,1.703,2.821,2.192,2.881,7.549,3.15,3.172,3.142
164,16.4,1.842,3.179,2.477,2.638,7.46,3.105,3.068,3.012
165,16.5,1.977,3.19,2.28,3.132,8.322,3.13,2.945,3.082
166,16.6,1.651,3.524,2.167,2.691,7.586,3.348,2.354,3.282
167,16.7,2.009,3.196,2.158,3.109,7.556,3.078,2.855,3.06
168,16.8,2.007,3.481,1.767,2.816,7.357,3.336,2.96,2.88
169,16.9,1.695,3.389,2.314,3.078,7.815,3.107,2.726,3.399
170,17,2.136,3.117,1.385,3.462,7.294,3.225,3.496,3.116
171,17.1,1.773,3.265,2.333,2.871,7.5,3.361,3.352,3.493
172,17.2,1.847,3.203,1.936,3.139,7.426,2.964,3.351,3.301
173,17.3,2.066,2.468,1.934,2.696,7.2,3.146,2.635,3.476
174,17.4,2.067,2.855,2.218,2.552,7.377,2.933,2.998,3.484
175,17.5,1.68,2.725,1.826,3.127,7.588,3.332,2.781,3.315
176,17.6,1.922,3.08,1.357,2.709,7.339,3.416,3.086,3.252
177,17.7,1.818,3.115,1.826,2.81,8.203,3.273,3.326,3.274
178,17.8,1.498,2.918,1.438,2.942,7.243,3.321,3.299,2.978
179,17.9,1.41,3.131,1.724,2.705,7.314,2.983,3.539,3.381
180,18,1.637,2.937,1.981,2.943,7.214,2.466,3.583,3.238
181,18.1,1.731,3.504,1.767,2.846,7.424,2.934,3.62,3.402
182,18.2,1.365,3.226,1.797,2.882,7.023,3.431,3.154,3.537
183,18.3,1.563,3.345,1.84,3.149,6.85,2.857,2.824,3.763
184,18.4,1.53,3.243,2.02,3.159,6.932,3.287,3.147,3.879
185,18.5,1.554,3.016,1.401,3.143,7.301,2.747,3.24,3.873
186,18.6,1.623,3.152,2.085,3.423,6.969,3.252,3.283,4.011
187,18.7,1.731,3.125,1.79,3.129,6.589,3.164,2.347,3.752
188,18.8,1.584,3.28,1.936,3.007,6.476,2.931,3.221,3.343
189,18.9,1.692,3.691,2.147,3.066,7.457,3.116,2.92,4.264
190,19,1.487,3.332,1.842,3.17,7.462,2.955,3.083,4.363
191,19.1,1.532,3.301,1.812,2.815,7.3,2.948,2.816,3.918
192,19.2,1.696,3.628,1.958,2.82,7.064,3.399,3.548,3.994
193,19.3,1.798,3.319,1.658,3.192,7.164,3.001,3.027,3.635
194,19.4,1.895,3.202,1.896,3.198,7.021,2.926,2.93,3.468
195,19.5,1.739,2.381,1.963,3.271,7.277,2.427,2.853,3.381
196,19.6,1.689,2.642,2.324,3.075,7.279,2.874,2.964,3.587
197,19.7,1.92,2.958,1.766,3.158,7.126,2.952,2.892,3.268
198,19.8,1.966,2.929,1.801,2.705,6.961,3.03,3.004,3.777
199,19.9,1.515,3.449,1.822,2.594,7.775,2.934,2.713,3.824
200,20,1.776,3.464,1.857,3.02,7.367,3.043,2.877,3.655
201,20.1,1.649,3.265,1.659,2.922,7.04,2.729,2.999,3.146
202,20.2,1.686,3.148,1.991,2.804,6.96,3.394,3.059,3.632
203,20.3,1.719,3.383,2.028,2.794,7.1,3.317,3.174,3.943
204,20.4,1.635,3.233,2.153,2.853,6.943,3.309,2.653,3.96
205,20.5,1.824,3.388,2.563,2.769,7.038,2.931,2.767,4.366
206,20.6,2.098,3.307,2.16,2.443,7.007,2.883,3.11,4.448
207,20.7,1.831,3.241,2.048,2.411,7.244,3.117,2.796,4.425
208,20.8,1.565,2.901,2.446,2.698,7.573,2.809,3.039,4.331
209,20.9,2.017,2.737,2.425,2.74,7.002,3.085,3.032,4.306
210,21,1.555,2.781,1.966,2.788,7.414,3.176,3.029,3.763
211,21.1,1.664,3.236,2.099,2.982,7.421,3.061,3.233,4.299
212,21.2,1.707,2.807,2.093,2.689,7.312,3.232,2.847,4.807
213,21.3,1.713,3.296,2.373,2.666,7.284,3.416,3.147,4.764
214,21.4,1.764,3.071,1.9,2.678,7.084,2.477,2.932,4.92
215,21.5,2.001,2.968,1.798,2.8,7.234,3.517,2.903,4.529
216,21.6,1.89,3.246,2.445,2.557,7.277,2.96,2.934,4.354
217,21.7,2.092,3.576,2.292,2.405,7.012,2.908,3.288,5.124
218,21.8,1.69,3.393,2.161,2.381,7.204,3.303,3.051,5.101
219,21.9,1.425,3.453,2.113,2.22,6.909,2.82,2.796,4.723
220,22,1.686,2.719,2.452,2.289,7.069,3.066,3.151,4.804
221,22.1,1.475,2.435,2.01,2.568,7.214,2.812,3.209,4.925
222,22.2,2.093,2.833,2.386,2.535,6.851,3.437,3.217,5.097
223,22.3,1.87,3.069,2.368,2.648,7.054,3.033,3.391,4.369
224,22.4,1.304,2.591,1.566,2.798,7.383,3.083,3.182,4.948
225,22.5,1.819,2.955,2.197,2.353,7.111,3.203,3.43,4.842
226,22.6,1.625,2.974,1.927,3,6.858,3.168,2.904,4.126
227,22.7,1.53,2.467,2.16,2.65,7.386,3.122,3.122,4.34
228,22.8,1.687,2.576,2.323,2.735,7.268,3.278,2.973,5.16
229,22.9,1.468,2.646,2.008,2.681,7.061,3.12,2.694,4.941
230,23,1.616,2.881,1.652,2.5,6.778,2.754,3.601,4.063
231,23.1,1.674,3.072,2.344,2.081,7.615,3.311,3.206,4.615
232,23.2,1.779,3.418,2.029,2.898,7.888,2.921,3.205,3.536
233,23.3,1.671,2.834,1.889,2.561,7.238,2.864,3.351,4.804
234,23.4,1.851,2.741,2.283,2.596,7.39,3.051,3.531,5.065
235,23.5,1.814,3.156,1.891,2.494,7.094,2.967,3.017,3.959
236,23.6,1.785,3.262,2.154,2.787,7.444,2.819,2.971,2.907
237,23.7,2.027,3.085,1.764,2.714,7.16,3.136,3.242,3.258
238,23.8,1.692,3.173,2.024,2.736,6.934,2.996,3.067,4.315
239,23.9,1.838,3.155,2.066,2.55,6.876,2.965,3.258,4.171
240,24,1.662,3.055,1.76,2.704,6.836,2.832,3.197,4.329
241,24.1,1.787,3.263,1.753,2.699,7.338,3.177,3.454,3.293
242,24.2,2.001,3.466,1.873,2.568,7.225,3.207,3.607,3.109
243,24.3,1.568,3.112,2.15,2.49,7.498,3.275,3.209,3.414
244,24.4,1.553,2.849,2.085,2.24,7.063,2.73,2.978,4.479
245,24.5,1.551,2.785,2.068,2.637,7.491,3.271,2.919,4.517
246,24.6,1.36,2.81,1.882,2.287,7.156,3.123,3.158,4.449
247,24.7,1.589,2.574,2.044,2.762,7.105,2.974,3.391,4.291
248,24.8,1.601,3.154,2.292,2.329,6.975,3.124,2.781,4.866
249,24.9,1.922,2.657,2.26,2.784,7.12,2.844,3.122,4.695
250,25,1.728,2.879,1.975,2.633,7.571,2.847,3.079,4.246
251,25.1,1.724,2.572,2.211,2.915,7.52,2.853,2.985,4.663
252,25.2,1.799,3.02,2.785,2.71,7.408,3.166,3.613,4.923
253,25.3,1.609,2.786,2.547,2.609,7.552,3.419,2.957,5.1
254,25.4,1.601,2.815,2.076,2.36,6.977,2.904,2.861,5.055
255,25.5,1.477,3.134,2.335,2.31,7.05,2.72,2.933,4.57
256,25.6,1.871,2.952,2.508,2.435,7.257,2.659,3.306,4.281
257,25.7,1.763,2.584,2.321,2.643,7.358,3.146,3.152,4.059
258,25.8,1.872,2.618,2.502,2.69,7.307,3.055,3.14,4.559
259,25.9,1.641,2.97,2.603,2.214,7.349,3.106,3.194,4.612
260,26,1.793,2.36,2.322,2.98,7.138,3.173,2.997,4.513
261,26.1,1.535,2.532,2.23,2.543,7.298,2.793,2.932,4.255
262,26.2,1.917,2.644,2.384,2.602,7.309,2.671,3.013,4.662
263,26.3,1.971,2.372,2.15,2.621,7.396,3.038,3.287,4.048
264,26.4,1.724,3.124,2.82,2.836,7.103,3.329,3.221,4.37
265,26.5,1.987,2.596,2.409,2.215,7.584,3.166,2.998,4.701
266,26.6,2.161,2.653,2.09,2.53,7.451,2.88,3.512,4.554
267,26.7,1.554,2.729,2.18,2.743,7.548,3.108,3.252,3.548
268,26.8,1.977,2.275,2.511,2.238,7.586,2.697,2.782,4.273
269,26.9,1.973,2.442,2.45,2.41,7.921,3.557,3.287,3.795
270,27,1.927,3.026,2.349,2.583,7.006,2.575,3.34,3.969
271,27.1,2.531,2.386,2.323,2.295,7.328,2.537,3.07,4.001
272,27.2,2.09,2.676,2.564,2.298,7.467,3.556,3.449,4.201
273,27.3,2.749,3.065,2.375,2.544,7.315,3.109,3.345,4.344
274,27.4,2.495,3.156,2.245,2.109,7.377,2.902,3.619,4.387
275,27.5,2.639,2.937,2.146,2.683,7.324,2.881,3.324,4.607
276,27.6,2.384,2.574,2.371,2.533,7.107,3.24,3.27,4.307
277,27.7,2.546,2.931,2.159,2.284,7.33,3.412,2.951,4.501
278,27.8,2.435,3.095,2.325,2.806,7.208,3.489,2.863,4.01
279,27.9,2.432,2.783,2.052,2.426,7.271,3.384,3.231,4.543
280,28,2.618,2.835,2.591,2.347,7.089,2.833,3.583,3.922
281,28.1,2.605,2.927,2.132,2.587,7.36,3.345,3.254,4.194
282,28.2,2.666,2.786,2.1,2.622,7.567,3.223,3.235,4.259
283,28.3,2.885,2.586,2.063,2.536,6.668,3.229,2.93,4.21
284,28.4,3.167,2.371,2.411,2.675,7.102,2.918,3.333,4.121
285,28.5,2.985,3.261,1.851,2.738,7.304,3.045,3.561,4.162
286,28.6,2.793,2.822,2.319,2.705,7.438,3.905,3.387,4.366
287,28.7,2.821,2.574,2.419,2.629,7.765,3.256,3.108,4.462
288,28.8,3.565,2.024,2.564,2.337,7.51,2.624,3.266,4.255
289,28.9,2.942,2.252,2.641,2.565,7.486,3.115,3.354,4.187
290,29,3.397,2.461,2.508,2.403,7.458,2.921,3.632,4.168
291,29.1,3.387,2.914,2.128,2.802,7.08,3.012,3.476,3.592
292,29.2,2.553,2.756,2.465,2.614,7.457,3.343,2.893,4.156
293,29.3,3.221,2.496,2.405,2.364,7.167,2.728,3.559,3.837
294,29.4,3.579,2.388,2.863,2.334,7.008,2.383,3.227,4.227
295,29.5,3.364,2.693,2.033,2.783,7.575,2.988,3.111,4.166
296,29.6,2.941,2.876,2.533,2.604,7.318,2.855,3.198,4.078
297,29.7,3.056,2.73,2.402,2.377,6.966,3.225,3.692,3.703
298,29.8,3.335,2.687,2.548,2.463,7.42,2.809,3.225,3.911
299,29.9,3.77,2.517,2.194,1.733,6.989,3.04,2.743,3.666
300,30,2.596,2.864,2.308,1.958,7.38,3.297,3.187,3.754
301,30.1,2.979,2.462,2.997,2.014,7.378,2.638,3.318,3.882
302,30.2,2.216,2.636,2.447,1.779,7.527,3.121,3.258,3.456
303,30.3,2.747,2.917,2.498,2.219,7.136,3.428,3.038,3.98
304,30.4,3.405,2.59,2.691,2.265,7.111,3.402,3.273,3.956
305,30.5,3.139,2.581,2.45,1.735,7.359,3.098,3.314,3.846
306,30.6,2.489,2.536,2.315,1.464,7.305,3.175,3.244,3.819
307,30.7,3.436,2.975,2.329,1.26,7.152,2.449,3.16,3.817
308,30.8,3.431,2.829,2.47,1.369,7.026,2.759,3.243,3.992
309,30.9,3.279,3.193,2.37,1.753,7.126,3.424,3.262,4.395
310,31,3.144,2.797,2.468,1.435,7.526,2.875,3.229,4.179
311,31.1,3.254,2.767,2.871,1.802,7.375,2.7,3.165,3.938
312,31.2,3.178,2.751,2.525,1.584,7.635,3.053,2.792,3.689
313,31.3,3.472,2.711,2.509,1.498,7.243,2.257,2.953,4.424
314,31.4,2.824,2.648,2.64,1.517,7.289,2.698,3.196,4.182
315,31.5,3.387,2.496,2.997,1.55,7.49,2.88,3.32,4.613
316,31.6,3.412,2.501,2.672,1.561,7.174,2.963,3.111,4.647
317,31.7,3.432,2.487,2.604,1.618,7.08,2.91,3.486,4.511
318,31.8,3.019,2.904,2.501,1.711,7.235,3.297,3.544,4.176
319,31.9,3.202,2.774,2.433,1.38,7.187,3.209,3.051,4.132
320,32,3.231,2.77,2.488,1.546,7.51,3.131,3.462,4.797
321,32.1,3.4,2.639,2.514,1.183,7.002,3.401,3.226,4.267
322,32.2,3.571,2.699,2.498,1.565,7.149,3.033,3.271,4.143
323,32.3,2.19,2.396,2.11,1.488,7.24,3.282,3.449,4.559
324,32.4,2.099,2.634,2.423,1.352,7.586,3.132,2.72,4.624
325,32.5,2.376,2.902,2.496,1.559,7.45,3.087,2.946,4.474
326,32.6,3.028,1.546,2.167,1.524,7.32,2.841,3.045,4.792
327,32.7,3.542,1.146,2.413,1.598,7.298,3.122,2.932,4.212
328,32.8,3.428,1.824,2.268,1.498,7.092,3.044,3.16,4.21
329,32.9,3.291,2.995,2.434,1.576,6.889,3.072,3.037,4.518
330,33,3.365,2.832,2.146,1.531,6.881,3.256,3.387,4.671
331,33.1,3.171,2.725,2.185,1.693,7.116,3.378,3.115,4.259
332,33.2,3.052,2.577,1.945,1.34,7.457,3.479,3.384,4.804
333,33.3,2.854,2.881,2.634,1.575,7.291,3.061,3.21,4.586
334,33.4,3.182,2.66,2.672,1.483,7.479,2.879,3.198,4.312
335,33.5,3.441,3.049,2.162,1.615,7.135,3.176,3.16,4.74
336,33.6,3.264,2.512,2.013,1.508,7.556,2.354,2.853,4.761
337,33.7,3.632,2.586,2.06,2.413,7.506,3.237,3.057,4.245
338,33.8,2.843,2.369,2.023,2.228,6.989,3.161,3.174,4.066
339,33.9,3.391,2.594,2.507,2.743,6.763,3.006,3.559,4.49
340,34,3.275,2.451,2.132,2.347,7.035,3.167,3.53,4.429
341,34.1,3.28,3.119,1.963,2.146,6.96,2.947,3.627,4.219
342,34.2,3.286,2.927,2.596,2.352,7.018,3.245,3.335,4.917
343,34.3,3.684,3.05,2.335,2.044,7.221,3.642,3.477,4.448
344,34.4,3.316,3.211,2.567,2.425,7.238,3.259,3.049,3.52
345,34.5,3.621,2.721,2.257,2.62,7.459,3.1,2.88,4.824
346,34.6,3.593,3.094,2.666,2.292,7.346,3.188,3.24,4.438
347,34.7,3.675,2.764,2.47,2.492,6.768,3.045,3.025,4.879
348,34.8,3.52,2.334,2.34,2.342,7.192,3.304,3.019,4.262
349,34.9,3.386,2.8,2.5,2.206,7.1,3.259,3.205,3.648
350,35,3.179,2.706,2.34,2.873,7.204,3.284,2.99,3.918
351,35.1,3.004,3.026,2.215,3.136,6.431,3.236,3.165,4.578
352,35.2,3.639,2.918,2.326,3.893,7.687,2.883,3.561,3.934
353,35.3,3.373,3.009,2.504,4.057,7.55,3.201,3.504,4.415
354,35.4,3.172,2.764,2.41,3.733,7.315,3.517,2.968,3.972
355,35.5,3.592,2.755,1.827,3.418,7.016,2.639,3.124,4.894
356,35.6,3.392,2.532,2.239,3.431,7.18,3.11,2.962,4.322
357,35.7,3.475,2.626,2.031,3.774,6.988,2.941,2.826,3.866
358,35.8,3.801,2.7,1.918,3.463,6.965,3.156,2.76,3.887
359,35.9,3.312,2.77,2.318,3.816,7.426,2.67,3.039,4.484
360,36,3.461,2.558,2.587,3.204,7.441,3.298,2.779,4.449
361,36.1,3.611,2.935,2.748,3.735,7.391,2.695,2.772,4.584
362,36.2,3.683,2.797,2.87,3.88,7.169,3.073,2.883,4.817
363,36.3,3.243,2.852,2.467,3.477,7.457,2.477,3.494,3.967
364,36.4,3.724,2.372,2.301,3.759,7.007,2.811,2.873,4.709
365,36.5,3.547,2.858,2.684,3.567,7.129,2.937,3.068,4.328
366,36.6,3.306,2.563,2.172,3.721,6.895,2.966,3.252,4.004
367,36.7,3.243,2.498,2.723,3.984,7.293,2.945,3.45,4.459
